,loss,val_loss,epoch
0,220717.515625,37067.13671875,0
1,21981.560546875,101397.2578125,1
2,21579.392578125,107423.734375,2
3,21083.65625,101138.5546875,3
4,21041.8515625,96228.109375,4
5,20973.826171875,103850.9609375,5
6,20699.310546875,89231.578125,6
7,21405.435546875,114591.609375,7
8,20849.501953125,109453.6171875,8
9,21138.78515625,117261.734375,9
10,21254.751953125,101365.65625,10
11,21002.162109375,118747.2890625,11
12,21955.537109375,103445.921875,12
13,20660.69921875,116421.7265625,13
14,21505.77734375,99698.125,14
15,20954.876953125,103747.5078125,15
16,21091.419921875,93415.84375,16
17,20931.439453125,116128.71875,17
18,20964.607421875,115102.9453125,18
19,20840.30078125,86345.5546875,19
20,20654.970703125,113519.8671875,20
21,21000.53125,104842.671875,21
22,21617.091796875,101510.7421875,22
23,21244.2890625,93457.4375,23
24,20726.88671875,125299.8984375,24
25,21825.7109375,116822.4296875,25
26,22138.4921875,101686.4921875,26
27,22877.5234375,93851.828125,27
28,21643.705078125,106412.5078125,28
29,22030.57421875,103963.0546875,29
30,20940.595703125,107724.3203125,30
31,21383.140625,114307.8515625,31
32,21227.115234375,95845.4375,32
33,21292.658203125,110514.3828125,33
34,22013.833984375,102760.0703125,34
35,22590.671875,106222.421875,35
36,21721.64453125,121355.84375,36
37,20798.10546875,109232.3828125,37
38,21018.353515625,98645.4765625,38
39,20997.484375,100631.6328125,39
40,21379.18359375,89823.7578125,40
41,22331.521484375,97369.1796875,41
42,21155.9375,103459.9609375,42
43,20657.771484375,111162.0390625,43
44,21054.986328125,115424.984375,44
45,21007.19921875,86790.7265625,45
46,20654.654296875,112483.0546875,46
47,21767.6015625,107361.9453125,47
48,20925.529296875,91361.90625,48
49,20762.525390625,96929.9296875,49
50,22403.802734375,114779.4296875,50
51,21282.298828125,108127.4375,51
52,21281.51171875,108872.6640625,52
53,22398.724609375,109510.5625,53
54,20913.08203125,123580.09375,54
55,21412.97265625,99290.2109375,55
56,21182.275390625,93803.046875,56
57,21214.91015625,105932.9609375,57
58,21109.37109375,106851.7109375,58
59,21057.671875,112493.8515625,59
60,21527.33203125,112501.8828125,60
61,21766.544921875,102542.4375,61
62,20932.623046875,98609.8984375,62
63,21375.455078125,107240.5703125,63
64,20691.93359375,113865.6875,64
65,20808.25390625,105411.34375,65
66,21433.6953125,91931.828125,66
67,21680.173828125,87821.984375,67
68,21333.1328125,107095.0546875,68
69,20983.87109375,104893.0625,69
70,21112.279296875,100117.1484375,70
71,20683.421875,110033.203125,71
72,21468.759765625,105595.7421875,72
73,21475.798828125,100370.1640625,73
74,20915.05078125,112005.1640625,74
75,21310.580078125,117382.4765625,75
76,21651.08984375,94028.9296875,76
77,21178.037109375,105223.28125,77
78,21709.92578125,108484.7578125,78
79,21397.955078125,112922.328125,79
80,20821.8984375,104496.125,80
81,20829.140625,109264.546875,81
82,21555.47265625,87959.546875,82
83,20937.6953125,123831.2734375,83
84,20767.685546875,112057.8359375,84
85,20823.63671875,109620.0234375,85
86,21593.9453125,88097.5625,86
87,21643.267578125,86720.3203125,87
88,20969.28515625,94339.109375,88
89,21148.66015625,113063.5234375,89
90,21635.28125,95497.890625,90
91,21721.53125,102936.828125,91
92,20796.232421875,97970.6015625,92
93,21012.53125,110025.9453125,93
94,21131.4296875,114166.09375,94
95,21114.544921875,110745.0390625,95
96,22234.279296875,105669.9765625,96
97,20955.08203125,90117.078125,97
98,21491.884765625,120260.5625,98
99,21728.576171875,104353.84375,99
