,loss,val_loss,epoch
0,344496192.0,1290775936.0,0
1,344470368.0,1290670080.0,1
2,344446208.0,1290559232.0,2
3,344420768.0,1290448640.0,3
4,344395392.0,1290337536.0,4
5,344369728.0,1290226432.0,5
6,344344576.0,1290113792.0,6
7,344319104.0,1290001664.0,7
8,344294144.0,1289886336.0,8
9,344267968.0,1289773824.0,9
10,344243200.0,1289659008.0,10
11,344217344.0,1289545088.0,11
12,344191136.0,1289435136.0,12
13,344166240.0,1289322112.0,13
14,344141632.0,1289203968.0,14
15,344115392.0,1289090432.0,15
16,344090208.0,1288977280.0,16
17,344063680.0,1288867584.0,17
18,344039200.0,1288753408.0,18
19,344012896.0,1288643456.0,19
20,343988640.0,1288527744.0,20
21,343962528.0,1288415104.0,21
22,343937248.0,1288301952.0,22
23,343911328.0,1288190592.0,23
24,343886176.0,1288077312.0,24
25,343860512.0,1287963904.0,25
26,343835552.0,1287848576.0,26
27,343809728.0,1287734400.0,27
28,343784128.0,1287621248.0,28
29,343758208.0,1287509248.0,29
30,343733344.0,1287394432.0,30
31,343707840.0,1287279360.0,31
32,343682272.0,1287163904.0,32
33,343655904.0,1287053056.0,33
34,343630528.0,1286940672.0,34
35,343605920.0,1286824576.0,35
36,343579136.0,1286713984.0,36
37,343555104.0,1286596608.0,37
38,343528480.0,1286482816.0,38
39,343504032.0,1286365568.0,39
40,343477152.0,1286253312.0,40
41,343451840.0,1286140928.0,41
42,343426784.0,1286027008.0,42
43,343400800.0,1285914368.0,43
44,343375296.0,1285801728.0,44
45,343350208.0,1285686656.0,45
46,343324640.0,1285572608.0,46
47,343298976.0,1285459072.0,47
48,343273184.0,1285348096.0,48
49,343248320.0,1285233408.0,49
50,343223008.0,1285118208.0,50
51,343196992.0,1285005056.0,51
52,343172224.0,1284889472.0,52
53,343146144.0,1284775936.0,53
54,343120928.0,1284663040.0,54
55,343094880.0,1284551808.0,55
56,343069248.0,1284441344.0,56
57,343044160.0,1284328448.0,57
58,343018944.0,1284215936.0,58
59,342994048.0,1284100992.0,59
60,342968320.0,1283985792.0,60
61,342942592.0,1283872128.0,61
62,342917440.0,1283757440.0,62
63,342892000.0,1283643264.0,63
64,342866336.0,1283529728.0,64
65,342840096.0,1283421056.0,65
66,342814624.0,1283312512.0,66
67,342790080.0,1283198720.0,67
68,342765216.0,1283083648.0,68
69,342739072.0,1282971648.0,69
70,342714400.0,1282855296.0,70
71,342688832.0,1282740352.0,71
72,342662464.0,1282628736.0,72
73,342636448.0,1282521088.0,73
74,342613312.0,1282402304.0,74
75,342586624.0,1282290304.0,75
76,342561248.0,1282177664.0,76
77,342535744.0,1282065536.0,77
78,342510080.0,1281953920.0,78
79,342485120.0,1281840512.0,79
80,342460032.0,1281726208.0,80
81,342434560.0,1281613184.0,81
82,342408512.0,1281501824.0,82
83,342383392.0,1281390208.0,83
84,342357760.0,1281278848.0,84
85,342332992.0,1281164672.0,85
86,342307904.0,1281048704.0,86
87,342282016.0,1280935680.0,87
88,342256256.0,1280825088.0,88
89,342231296.0,1280710912.0,89
90,342205216.0,1280599936.0,90
91,342180640.0,1280485376.0,91
92,342154432.0,1280374912.0,92
93,342130272.0,1280259328.0,93
94,342103936.0,1280147712.0,94
95,342078560.0,1280035072.0,95
96,342053312.0,1279922432.0,96
97,342027968.0,1279808640.0,97
98,342002336.0,1279697024.0,98
99,341977312.0,1279583360.0,99
