,loss,val_loss,epoch
0,14474.7001953125,35911.3515625,0
1,14468.91015625,35912.2265625,1
2,14464.0908203125,35911.58984375,2
3,14459.4931640625,35909.39453125,3
4,14455.15234375,35905.16796875,4
5,14450.861328125,35900.3515625,5
6,14446.484375,35893.87109375,6
7,14442.248046875,35886.94140625,7
8,14437.9853515625,35881.0234375,8
9,14433.8203125,35874.0234375,9
10,14429.79296875,35869.30859375,10
11,14425.654296875,35863.73046875,11
12,14421.5908203125,35857.83984375,12
13,14417.5205078125,35852.8203125,13
14,14413.4619140625,35848.80078125,14
15,14409.3701171875,35843.5546875,15
16,14405.3681640625,35838.5390625,16
17,14401.4541015625,35834.5,17
18,14397.3125,35829.25390625,18
19,14393.3095703125,35824.41015625,19
20,14389.4140625,35819.62109375,20
21,14385.4140625,35814.00390625,21
22,14381.5810546875,35808.3984375,22
23,14377.7451171875,35802.75,23
24,14373.896484375,35797.82421875,24
25,14370.029296875,35792.90234375,25
26,14366.2333984375,35788.5546875,26
27,14362.3994140625,35784.41015625,27
28,14358.5107421875,35779.72265625,28
29,14354.60546875,35774.8828125,29
30,14350.7529296875,35770.15234375,30
31,14346.8486328125,35765.5390625,31
32,14342.955078125,35761.67578125,32
33,14339.0849609375,35756.3984375,33
34,14335.1728515625,35751.3203125,34
35,14331.380859375,35747.0234375,35
36,14327.5087890625,35741.828125,36
37,14323.6376953125,35736.3828125,37
38,14319.7578125,35731.51171875,38
39,14315.9912109375,35726.3359375,39
40,14312.28125,35722.02734375,40
41,14308.599609375,35716.69921875,41
42,14305.033203125,35711.8203125,42
43,14301.283203125,35706.125,43
44,14297.736328125,35701.30078125,44
45,14294.0751953125,35695.94921875,45
46,14290.4873046875,35691.59375,46
47,14286.9912109375,35686.98828125,47
48,14283.3720703125,35682.25,48
49,14279.845703125,35678.20703125,49
50,14276.3203125,35672.5234375,50
51,14272.6962890625,35667.4921875,51
52,14269.2392578125,35663.70703125,52
53,14265.8115234375,35659.44921875,53
54,14262.2451171875,35654.5234375,54
55,14258.69921875,35649.76171875,55
56,14255.384765625,35644.79296875,56
57,14251.9150390625,35640.61328125,57
58,14248.345703125,35635.57421875,58
59,14244.9013671875,35630.859375,59
60,14241.490234375,35625.87890625,60
61,14238.0205078125,35621.44921875,61
62,14234.513671875,35617.4921875,62
63,14231.08984375,35613.47265625,63
64,14227.607421875,35608.55078125,64
65,14224.16796875,35604.265625,65
66,14220.580078125,35599.19140625,66
67,14217.197265625,35593.4609375,67
68,14213.8427734375,35589.046875,68
69,14210.376953125,35584.3203125,69
70,14207.0380859375,35579.8359375,70
71,14203.751953125,35575.2578125,71
72,14200.2421875,35570.4140625,72
73,14196.9443359375,35565.5859375,73
74,14193.5634765625,35561.12890625,74
75,14190.20703125,35556.80859375,75
76,14186.8095703125,35552.31640625,76
77,14183.490234375,35548.27734375,77
78,14180.1201171875,35544.05078125,78
79,14176.6650390625,35538.73828125,79
80,14173.35546875,35534.9453125,80
81,14169.8798828125,35530.03125,81
82,14166.578125,35525.0703125,82
83,14163.0576171875,35520.57421875,83
84,14159.791015625,35516.59765625,84
85,14156.330078125,35512.3671875,85
86,14152.96484375,35507.875,86
87,14149.6376953125,35502.7265625,87
88,14146.3076171875,35497.26171875,88
89,14142.998046875,35493.0234375,89
90,14139.5234375,35488.32421875,90
91,14136.326171875,35483.234375,91
92,14132.9951171875,35478.5,92
93,14129.8173828125,35473.6640625,93
94,14126.544921875,35470.23828125,94
95,14123.2294921875,35465.4609375,95
96,14119.9375,35460.5546875,96
