,loss,val_loss,epoch
0,57389277184.0,187888369664.0,0
1,57389117440.0,187888009216.0,1
2,57389039616.0,187887697920.0,2
3,57388969984.0,187887386624.0,3
4,57388900352.0,187887173632.0,4
5,57388843008.0,187886977024.0,5
6,57388802048.0,187886796800.0,6
7,57388752896.0,187886649344.0,7
8,57388707840.0,187886387200.0,8
9,57388658688.0,187886272512.0,9
10,57388621824.0,187886125056.0,10
11,57388576768.0,187886010368.0,11
12,57388552192.0,187885912064.0,12
13,57388519424.0,187885797376.0,13
14,57388486656.0,187885682688.0,14
15,57388462080.0,187885584384.0,15
16,57388429312.0,187885469696.0,16
17,57388396544.0,187885355008.0,17
18,57388371968.0,187885191168.0,18
19,57388339200.0,187885109248.0,19
20,57388314624.0,187885010944.0,20
21,57388290048.0,187884929024.0,21
22,57388265472.0,187884797952.0,22
23,57388236800.0,187884732416.0,23
24,57388216320.0,187884584960.0,24
25,57388179456.0,187884503040.0,25
26,57388154880.0,187884404736.0,26
27,57388130304.0,187884322816.0,27
28,57388113920.0,187884257280.0,28
29,57388085248.0,187884158976.0,29
30,57388068864.0,187884060672.0,30
31,57388044288.0,187883995136.0,31
32,57388015616.0,187883913216.0,32
33,57387999232.0,187883880448.0,33
34,57387982848.0,187883782144.0,34
35,57387954176.0,187883716608.0,35
36,57387933696.0,187883634688.0,36
37,57387917312.0,187883585536.0,37
38,57387896832.0,187883520000.0,38
39,57387880448.0,187883438080.0,39
40,57387859968.0,187883372544.0,40
41,57387839488.0,187883290624.0,41
42,57387823104.0,187883192320.0,42
43,57387794432.0,187883143168.0,43
44,57387786240.0,187883044864.0,44
45,57387761664.0,187882946560.0,45
46,57387741184.0,187882864640.0,46
47,57387720704.0,187882815488.0,47
48,57387696128.0,187882749952.0,48
49,57387683840.0,187882684416.0,49
50,57387663360.0,187882618880.0,50
51,57387646976.0,187882553344.0,51
52,57387630592.0,187882504192.0,52
53,57387614208.0,187882455040.0,53
54,57387597824.0,187882373120.0,54
55,57387581440.0,187882307584.0,55
56,57387560960.0,187882258432.0,56
57,57387544576.0,187882209280.0,57
58,57387536384.0,187882160128.0,58
59,57387520000.0,187882078208.0,59
60,57387503616.0,187882061824.0,60
61,57387487232.0,187882012672.0,61
62,57387483136.0,187881963520.0,62
63,57387454464.0,187881897984.0,63
64,57387446272.0,187881865216.0,64
65,57387425792.0,187881799680.0,65
66,57387421696.0,187881750528.0,66
67,57387401216.0,187881717760.0,67
68,57387388928.0,187881652224.0,68
69,57387376640.0,187881603072.0,69
70,57387360256.0,187881570304.0,70
71,57387347968.0,187881537536.0,71
72,57387335680.0,187881472000.0,72
73,57387315200.0,187881422848.0,73
74,57387307008.0,187881357312.0,74
75,57387290624.0,187881308160.0,75
76,57387282432.0,187881259008.0,76
77,57387266048.0,187881193472.0,77
78,57387245568.0,187881160704.0,78
79,57387241472.0,187881095168.0,79
80,57387216896.0,187881029632.0,80
81,57387208704.0,187880996864.0,81
82,57387200512.0,187880947712.0,82
83,57387180032.0,187880898560.0,83
84,57387175936.0,187880865792.0,84
85,57387155456.0,187880800256.0,85
86,57387143168.0,187880751104.0,86
87,57387134976.0,187880718336.0,87
88,57387118592.0,187880685568.0,88
89,57387106304.0,187880636416.0,89
90,57387098112.0,187880587264.0,90
91,57387085824.0,187880538112.0,91
92,57387073536.0,187880505344.0,92
93,57387053056.0,187880439808.0,93
94,57387048960.0,187880390656.0,94
95,57387032576.0,187880357888.0,95
96,57387016192.0,187880308736.0,96
97,57387008000.0,187880275968.0,97
98,57386999808.0,187880243200.0,98
99,57386979328.0,187880210432.0,99
