,loss,val_loss,epoch
0,57388519424.0,187879768064.0,0
1,57385926656.0,187870773248.0,1
2,57383612416.0,187862663168.0,2
3,57381498880.0,187854520320.0,3
4,57379217408.0,187846639616.0,4
5,57376825344.0,187837710336.0,5
6,57374367744.0,187828748288.0,6
7,57371926528.0,187819982848.0,7
8,57369481216.0,187809742848.0,8
9,57366949888.0,187801108480.0,9
10,57364647936.0,187793309696.0,10
11,57362415616.0,187785641984.0,11
12,57360142336.0,187777368064.0,12
13,57357750272.0,187769700352.0,13
14,57355546624.0,187761754112.0,14
15,57353306112.0,187753414656.0,15
16,57350971392.0,187744043008.0,16
17,57348513792.0,187735310336.0,17
18,57346031616.0,187725316096.0,18
19,57343619072.0,187716222976.0,19
20,57341231104.0,187708030976.0,20
21,57338904576.0,187700068352.0,21
22,57336598528.0,187691892736.0,22
23,57334181888.0,187682390016.0,23
24,57331662848.0,187673034752.0,24
25,57329143808.0,187664711680.0,25
26,57326899200.0,187656192000.0,26
27,57324408832.0,187647475712.0,27
28,57322020864.0,187637972992.0,28
29,57319325696.0,187626602496.0,29
30,57316556800.0,187614969856.0,30
31,57313820672.0,187604942848.0,31
32,57311211520.0,187595145216.0,32
33,57308565504.0,187583774720.0,33
34,57305972736.0,187574206464.0,34
35,57303302144.0,187562917888.0,35
36,57300692992.0,187552432128.0,36
37,57298059264.0,187543633920.0,37
38,57295507456.0,187532673024.0,38
39,57292849152.0,187522252800.0,39
40,57290297344.0,187513487360.0,40
41,57287901184.0,187504558080.0,41
42,57285390336.0,187496038400.0,42
43,57282973696.0,187487518720.0,43
44,57280487424.0,187477721088.0,44
45,57277894656.0,187468414976.0,45
46,57275392000.0,187457765376.0,46
47,57272692736.0,187447705600.0,47
48,57270177792.0,187439398912.0,48
49,57267884032.0,187431616512.0,49
50,57265676288.0,187424178176.0,50
51,57263468544.0,187416805376.0,51
52,57261228032.0,187407843328.0,52
53,57258876928.0,187399438336.0,53
54,57256509440.0,187390279680.0,54
55,57254158336.0,187382169600.0,55
56,57251856384.0,187373617152.0,56
57,57249378304.0,187364343808.0,57
58,57246994432.0,187355627520.0,58
59,57244573696.0,187347894272.0,59
60,57242275840.0,187340423168.0,60
61,57240092672.0,187332919296.0,61
62,57237843968.0,187325448192.0,62
63,57235644416.0,187317370880.0,63
64,57233285120.0,187309277184.0,64
65,57230905344.0,187300184064.0,65
66,57228447744.0,187291566080.0,66
67,57226096640.0,187283439616.0,67
68,57223884800.0,187275411456.0,68
69,57221775360.0,187267301376.0,69
70,57219547136.0,187259518976.0,70
71,57217421312.0,187251294208.0,71
72,57215090688.0,187240644608.0,72
73,57212669952.0,187231698944.0,73
74,57210339328.0,187223572480.0,74
75,57208098816.0,187215855616.0,75
76,57205833728.0,187207909376.0,76
77,57203568640.0,187200208896.0,77
78,57201381376.0,187192262656.0,78
79,57198997504.0,187182841856.0,79
80,57196392448.0,187171962880.0,80
81,57193861120.0,187163049984.0,81
82,57191591936.0,187154366464.0,82
83,57189289984.0,187145764864.0,83
84,57186926592.0,187137966080.0,84
85,57184702464.0,187130380288.0,85
86,57182527488.0,187122761728.0,86
87,57180250112.0,187115372544.0,87
88,57178103808.0,187107508224.0,88
89,57175818240.0,187099725824.0,89
90,57173540864.0,187091566592.0,90
91,57171226624.0,187083472896.0,91
92,57168838656.0,187074330624.0,92
93,57166495744.0,187065696256.0,93
94,57164181504.0,187057717248.0,94
95,57161826304.0,187049951232.0,95
96,57159626752.0,187041710080.0,96
97,57157349376.0,187033206784.0,97
98,57155026944.0,187025211392.0,98
99,57152802816.0,187017330688.0,99
