,loss,val_loss,epoch
0,257472348160.0,946960662528.0,0
1,257471561728.0,946957582336.0,1
2,257470824448.0,946954371072.0,2
3,257470038016.0,946951028736.0,3
4,257469300736.0,946947883008.0,4
5,257468481536.0,946944475136.0,5
6,257467711488.0,946941198336.0,6
7,257466957824.0,946938052608.0,7
8,257466236928.0,946934906880.0,8
9,257465499648.0,946931367936.0,9
10,257464680448.0,946928156672.0,10
11,257463943168.0,946925076480.0,11
12,257463173120.0,946921668608.0,12
13,257462452224.0,946918457344.0,13
14,257461698560.0,946915442688.0,14
15,257460977664.0,946912428032.0,15
16,257460207616.0,946908889088.0,16
17,257459372032.0,946905808896.0,17
18,257458667520.0,946902466560.0,18
19,257457848320.0,946898993152.0,19
20,257457061888.0,946895781888.0,20
21,257456259072.0,946892177408.0,21
22,257455439872.0,946888048640.0,22
23,257454555136.0,946884378624.0,23
24,257453703168.0,946880184320.0,24
25,257452818432.0,946876317696.0,25
26,257451966464.0,946873106432.0,26
27,257451245568.0,946870222848.0,27
28,257450557440.0,946867535872.0,28
29,257449885696.0,946864717824.0,29
30,257449181184.0,946862096384.0,30
31,257448525824.0,946859409408.0,31
32,257447837696.0,946856263680.0,32
33,257447067648.0,946853117952.0,33
34,257446264832.0,946849316864.0,34
35,257445478400.0,946846302208.0,35
36,257444741120.0,946843353088.0,36
37,257444069376.0,946840731648.0,37
38,257443364864.0,946837913600.0,38
39,257442627584.0,946834898944.0,39
40,257441890304.0,946832015360.0,40
41,257441218560.0,946829328384.0,41
42,257440464896.0,946826117120.0,42
43,257439694848.0,946822774784.0,43
44,257438908416.0,946819825664.0,44
45,257438171136.0,946817204224.0,45
46,257437532160.0,946814386176.0,46
47,257436827648.0,946811764736.0,47
48,257436123136.0,946809077760.0,48
49,257435418624.0,946805997568.0,49
50,257434632192.0,946802589696.0,50
51,257433812992.0,946798723072.0,51
52,257432961024.0,946795053056.0,52
53,257432158208.0,946791972864.0,53
54,257431453696.0,946789089280.0,54
55,257430732800.0,946786402304.0,55
56,257430044672.0,946783780864.0,56
57,257429356544.0,946780962816.0,57
58,257428668416.0,946778341376.0,58
59,257427980288.0,946775064576.0,59
60,257427243008.0,946772115456.0,60
61,257426505728.0,946769362944.0,61
62,257425833984.0,946766413824.0,62
63,257425096704.0,946763464704.0,63
64,257424326656.0,946760384512.0,64
65,257423605760.0,946757500928.0,65
66,257422917632.0,946754813952.0,66
67,257422213120.0,946752126976.0,67
68,257421541376.0,946749308928.0,68
69,257420820480.0,946746556416.0,69
70,257420132352.0,946743279616.0,70
71,257419329536.0,946739740672.0,71
72,257418526720.0,946736726016.0,72
73,257417838592.0,946733973504.0,73
74,257417166848.0,946731089920.0,74
75,257416462336.0,946728534016.0,75
76,257415806976.0,946725715968.0,76
77,257415135232.0,946722963456.0,77
78,257414430720.0,946720342016.0,78
79,257413758976.0,946717523968.0,79
80,257413103616.0,946714771456.0,80
81,257412415488.0,946711953408.0,81
82,257411694592.0,946708217856.0,82
83,257410891776.0,946705006592.0,83
84,257410138112.0,946702254080.0,84
85,257409433600.0,946699436032.0,85
86,257408729088.0,946696945664.0,86
87,257408090112.0,946694324224.0,87
88,257407418368.0,946691637248.0,88
89,257406713856.0,946688557056.0,89
90,257405976576.0,946685935616.0,90
91,257405288448.0,946682986496.0,91
92,257404518400.0,946679447552.0,92
93,257403715584.0,946676236288.0,93
94,257402929152.0,946673090560.0,94
95,257402175488.0,946670338048.0,95
96,257401487360.0,946667454464.0,96
97,257400799232.0,946664701952.0,97
98,257400094720.0,946661621760.0,98
99,257399324672.0,946658672640.0,99
100,257398603776.0,946655789056.0,100
101,257397915648.0,946653102080.0,101
102,257397227520.0,946650152960.0,102
103,257396473856.0,946646155264.0,103
104,257395605504.0,946642223104.0,104
105,257394802688.0,946638815232.0,105
106,257394016256.0,946635735040.0,106
107,257393213440.0,946632458240.0,107
108,257392476160.0,946629378048.0,108
109,257391722496.0,946626428928.0,109
110,257390952448.0,946623479808.0,110
111,257390198784.0,946619809792.0,111
112,257389363200.0,946616205312.0,112
113,257388576768.0,946613125120.0,113
