,loss,val_loss,epoch
0,18901.798828125,39544.91796875,0
1,18901.57421875,39544.94921875,1
2,18901.365234375,39544.98828125,2
3,18901.1484375,39545.03125,3
4,18900.923828125,39545.0703125,4
5,18900.712890625,39545.10546875,5
6,18900.494140625,39545.1484375,6
7,18900.28125,39545.1953125,7
8,18900.05859375,39545.23828125,8
9,18899.83984375,39545.27734375,9
10,18899.625,39545.32421875,10
11,18899.408203125,39545.359375,11
12,18899.193359375,39545.40625,12
13,18898.978515625,39545.44140625,13
14,18898.759765625,39545.48828125,14
15,18898.552734375,39545.52734375,15
16,18898.330078125,39545.56640625,16
17,18898.1171875,39545.6171875,17
18,18897.900390625,39545.6484375,18
19,18897.685546875,39545.68359375,19
20,18897.47265625,39545.7265625,20
21,18897.263671875,39545.7734375,21
22,18897.05078125,39545.80859375,22
23,18896.8359375,39545.8515625,23
24,18896.623046875,39545.8828125,24
25,18896.412109375,39545.921875,25
26,18896.205078125,39545.9609375,26
27,18896.001953125,39545.9921875,27
28,18895.787109375,39546.02734375,28
29,18895.568359375,39546.0703125,29
30,18895.361328125,39546.1015625,30
31,18895.158203125,39546.1484375,31
32,18894.94140625,39546.18359375,32
33,18894.744140625,39546.21875,33
34,18894.529296875,39546.24609375,34
35,18894.322265625,39546.2890625,35
36,18894.1015625,39546.3203125,36
37,18893.8984375,39546.359375,37
38,18893.69921875,39546.40234375,38
39,18893.47265625,39546.43359375,39
40,18893.279296875,39546.46875,40
41,18893.068359375,39546.5,41
42,18892.857421875,39546.5390625,42
43,18892.662109375,39546.5703125,43
44,18892.44921875,39546.6015625,44
45,18892.25,39546.63671875,45
46,18892.0390625,39546.6796875,46
47,18891.841796875,39546.69140625,47
48,18891.638671875,39546.7421875,48
49,18891.4296875,39546.76171875,49
50,18891.232421875,39546.796875,50
51,18891.037109375,39546.828125,51
52,18890.83203125,39546.85546875,52
53,18890.626953125,39546.890625,53
54,18890.42578125,39546.91796875,54
55,18890.22265625,39546.953125,55
56,18890.017578125,39546.98046875,56
57,18889.828125,39547.015625,57
58,18889.62109375,39547.05078125,58
59,18889.42578125,39547.0703125,59
60,18889.216796875,39547.10546875,60
61,18889.015625,39547.13671875,61
62,18888.822265625,39547.1640625,62
63,18888.623046875,39547.19140625,63
64,18888.41796875,39547.22265625,64
65,18888.22265625,39547.24609375,65
66,18888.029296875,39547.2734375,66
67,18887.830078125,39547.3046875,67
68,18887.63671875,39547.328125,68
69,18887.439453125,39547.3515625,69
70,18887.2421875,39547.37890625,70
71,18887.048828125,39547.41015625,71
72,18886.857421875,39547.4375,72
73,18886.654296875,39547.46484375,73
74,18886.453125,39547.49609375,74
75,18886.259765625,39547.53125,75
76,18886.06640625,39547.55078125,76
77,18885.873046875,39547.58984375,77
78,18885.6796875,39547.60546875,78
79,18885.48046875,39547.63671875,79
80,18885.283203125,39547.6640625,80
81,18885.083984375,39547.69140625,81
82,18884.88671875,39547.7265625,82
83,18884.6953125,39547.75,83
84,18884.4921875,39547.78125,84
85,18884.3046875,39547.80859375,85
86,18884.111328125,39547.83203125,86
87,18883.9140625,39547.86328125,87
