,loss,val_loss,epoch
0,3735253063565312.0,3680585914515456.0,0
1,3617825973338112.0,3555142267830272.0,1
2,3485318984499200.0,3415515296956416.0,2
3,3339318282158080.0,3263020335628288.0,3
4,3180973306937344.0,3098665358983168.0,4
5,3011186538840064.0,2923250841550848.0,5
6,2830680874549248.0,2737433913327616.0,6
7,2640061367582720.0,2541769161965568.0,7
8,2439835897823232.0,2336727960125440.0,8
9,2230448994385920.0,2122721550925824.0,9
10,2012283983101952.0,1900110980055040.0,10
11,1785680569040896.0,1669216893665280.0,11
12,1550940205219840.0,1430324772864000.0,12
13,1308340051247104.0,1183696879091712.0,13
14,1058124249169920.0,929566549868544.0,14
15,800518754533376.0,668149204647936.0,15
16,535730229084160.0,399643586330624.0,16
17,263948137922560.0,124231534772224.0,17
18,28545818558464.0,827595423744.0,18
19,869999378432.0,895533318144.0,19
20,879223570432.0,868354293760.0,20
21,897738670080.0,933872074752.0,21
22,932730830848.0,905089712128.0,22
23,939162206208.0,968572207104.0,23
24,952313249792.0,940007227392.0,24
25,968605237248.0,1005592313856.0,25
26,982147334144.0,972238487552.0,26
27,1007519531008.0,1038991556608.0,27
28,1021071720448.0,1007074672640.0,28
29,1027069181952.0,1070841331712.0,29
30,1052688580608.0,1039989145600.0,30
31,1066624548864.0,1103686664192.0,31
32,1095592837120.0,1070464434176.0,32
33,1094377668608.0,1133276692480.0,33
34,1123424403456.0,1101363675136.0,34
35,1132385402880.0,1161772662784.0,35
36,1155771924480.0,1131979341824.0,36
37,1163245780992.0,1192086470656.0,37
38,1182953504768.0,1159426998272.0,38
39,1193598779392.0,1221762482176.0,39
40,1195249238016.0,1188558536704.0,40
41,1224292302848.0,1247376441344.0,41
42,1226233217024.0,1216083787776.0,42
43,1234903760896.0,1276520431616.0,43
44,1256323153920.0,1243982069760.0,44
45,1261260636160.0,1303121494016.0,45
46,1292944146432.0,1267156910080.0,46
47,1295090843648.0,1328450240512.0,47
48,1309864624128.0,1293751681024.0,48
49,1326369210368.0,1356198576128.0,49
50,1331656785920.0,1316163420160.0,50
51,1346819588096.0,1382890340352.0,51
52,1361368973312.0,1340198879232.0,52
53,1379639492608.0,1410697265152.0,53
54,1390003486720.0,1364075741184.0,54
55,1400776032256.0,1433326321664.0,55
56,1408241106944.0,1388280283136.0,56
57,1426212126720.0,1454610579456.0,57
58,1429849505792.0,1414313803776.0,58
59,1448191066112.0,1475086909440.0,59
60,1448751923200.0,1442693775360.0,60
61,1469057466368.0,1494549790720.0,61
62,1479466680320.0,1466737098752.0,62
63,1490200297472.0,1514769874944.0,63
64,1497523945472.0,1491442728960.0,64
65,1518144323584.0,1536640286720.0,65
66,1529967149056.0,1512925036544.0,66
67,1528805982208.0,1556790378496.0,67
68,1545273475072.0,1533767057408.0,68
69,1560563023872.0,1584228335616.0,69
70,1572138516480.0,1553532977152.0,70
71,1573813485568.0,1604618551296.0,71
72,1588008583168.0,1574146146304.0,72
73,1598641799168.0,1624861179904.0,73
74,1614550269952.0,1595911962624.0,74
75,1623997546496.0,1648531472384.0,75
76,1630325047296.0,1615604088832.0,76
77,1644148817920.0,1668778164224.0,77
78,1646359871488.0,1636128653312.0,78
79,1666657550336.0,1687275700224.0,79
80,1671783120896.0,1658167885824.0,80
81,1686381133824.0,1708060704768.0,81
82,1680119037952.0,1676979732480.0,82
83,1698774122496.0,1726330044416.0,83
84,1710118797312.0,1699448881152.0,84
85,1720031117312.0,1745885200384.0,85
86,1738968793088.0,1719898341376.0,86
87,1744539746304.0,1766872711168.0,87
88,1744568844288.0,1737803431936.0,88
89,1760320815104.0,1787182317568.0,89
90,1763547545600.0,1750843129856.0,90
91,1775086206976.0,1810784976896.0,91
92,1791360106496.0,1767085309952.0,92
93,1789261905920.0,1827016146944.0,93
94,1811314638848.0,1790177705984.0,94
95,1813393833984.0,1844382269440.0,95
96,1825358086144.0,1809438343168.0,96
97,1831095894016.0,1861710118912.0,97
98,1849064423424.0,1829811650560.0,98
99,1851536703488.0,1879190011904.0,99
