,loss,val_loss,epoch
0,1.5189705034091725e+17,1.4848810043834368e+17,0
1,1.461600907249582e+17,1.4419292698391347e+17,1
2,1.424277641447342e+17,1.4089571495051264e+17,2
3,1.39733118843093e+17,1.388828183977001e+17,3
4,1.3798310864853402e+17,1.3724966567333069e+17,4
5,1.36432204547883e+17,1.357730473270313e+17,5
6,1.3501753680986112e+17,1.3441509892712038e+17,6
7,1.3370849090758246e+17,1.3315112441164595e+17,7
8,1.3248429637920358e+17,1.3196392673155482e+17,8
9,1.3133046200506778e+17,1.308410333018194e+17,9
10,1.3023600984876646e+17,1.2977304673399603e+17,10
11,1.2919268498315674e+17,1.2875256250446643e+17,11
12,,,12
13,,,13
14,,,14
15,,,15
16,,,16
17,,,17
18,,,18
19,,,19
20,,,20
21,,,21
22,,,22
23,,,23
24,,,24
25,,,25
26,,,26
27,,,27
28,,,28
29,,,29
30,,,30
31,,,31
32,,,32
33,,,33
34,,,34
35,,,35
36,,,36
37,,,37
38,,,38
39,,,39
40,,,40
41,,,41
42,,,42
43,,,43
44,,,44
45,,,45
46,,,46
47,,,47
48,,,48
49,,,49
50,,,50
51,,,51
52,,,52
53,,,53
54,,,54
55,,,55
56,,,56
57,,,57
58,,,58
59,,,59
60,,,60
61,,,61
62,,,62
63,,,63
64,,,64
65,,,65
66,,,66
67,,,67
68,,,68
69,,,69
70,,,70
71,,,71
72,,,72
73,,,73
74,,,74
75,,,75
76,,,76
77,,,77
78,,,78
79,,,79
80,,,80
81,,,81
82,,,82
83,,,83
84,,,84
85,,,85
86,,,86
87,,,87
88,,,88
89,,,89
90,,,90
91,,,91
92,,,92
93,,,93
94,,,94
95,,,95
96,,,96
97,,,97
98,,,98
99,,,99
