,loss,val_loss,epoch
0,1.8897497043134054e+17,1.855867050912645e+17,0
1,1.8323787337642803e+17,1.8129149727709594e+17,1
2,1.7950563269554995e+17,1.7799433678330266e+17,2
3,1.7681105611338547e+17,1.7598147459022848e+17,3
4,1.7506106309869568e+17,1.7434833904572826e+17,4
5,1.7351018476784845e+17,1.7287174646923264e+17,5
6,1.7209552561976115e+17,1.715138152491909e+17,6
7,1.7078640240807117e+17,1.702498235538473e+17,7
8,1.69562319548842e+17,1.6906260869388698e+17,8
9,1.684083649156219e+17,1.6793969808428237e+17,9
10,1.6731397288886272e+17,1.668717286963282e+17,10
11,1.6627057071384166e+17,1.6585126164666778e+17,11
12,,,12
13,,,13
14,,,14
15,,,15
16,,,16
17,,,17
18,,,18
19,,,19
20,,,20
21,,,21
22,,,22
23,,,23
24,,,24
25,,,25
26,,,26
27,,,27
28,,,28
29,,,29
30,,,30
31,,,31
32,,,32
33,,,33
34,,,34
35,,,35
36,,,36
37,,,37
38,,,38
39,,,39
40,,,40
41,,,41
42,,,42
43,,,43
44,,,44
45,,,45
46,,,46
47,,,47
48,,,48
49,,,49
50,,,50
51,,,51
52,,,52
53,,,53
54,,,54
55,,,55
56,,,56
57,,,57
58,,,58
59,,,59
60,,,60
61,,,61
62,,,62
63,,,63
64,,,64
65,,,65
66,,,66
67,,,67
68,,,68
69,,,69
70,,,70
71,,,71
72,,,72
73,,,73
74,,,74
75,,,75
76,,,76
77,,,77
78,,,78
79,,,79
80,,,80
81,,,81
82,,,82
83,,,83
84,,,84
85,,,85
86,,,86
87,,,87
88,,,88
89,,,89
90,,,90
91,,,91
92,,,92
93,,,93
94,,,94
95,,,95
96,,,96
97,,,97
98,,,98
99,,,99
