,loss,val_loss,epoch
0,7.318504013299712e+16,7.31692861929554e+16,0
1,7.306764149692826e+16,7.30438645579776e+16,1
2,7.293511598604288e+16,7.290422658125005e+16,2
3,7.278910427784806e+16,7.275171229256909e+16,3
4,7.263074883364454e+16,7.258736107402035e+16,4
5,7.246094300662989e+16,7.241194601971712e+16,5
6,7.228045989091738e+16,7.222613714455757e+16,6
7,7.20898406523863e+16,7.20304713194537e+16,7
8,7.188960068711219e+16,7.182542099080806e+16,8
9,7.168022532639949e+16,7.161141565535027e+16,9
10,7.146207534750106e+16,7.1388798910464e+16,10
11,7.123544280819302e+16,7.115789717366374e+16,11
12,7.100071855049933e+16,7.091900679769293e+16,12
13,7.07580872580137e+16,7.06723983654912e+16,13
14,7.050787964321792e+16,7.041825226568499e+16,14
15,7.025034910918246e+16,7.015685196611584e+16,15
16,6.99855300156457e+16,6.98883563805737e+16,16
17,6.97137659599913e+16,6.961292012788122e+16,17
18,6.94351299566633e+16,6.933079661110886e+16,18
19,6.914987540873216e+16,6.904205454973338e+16,19
20,6.885815264005325e+16,6.874691298708685e+16,20
21,6.855999601036493e+16,6.844544493761331e+16,21
22,6.825568469254144e+16,6.813781790503731e+16,22
23,6.794521868658278e+16,6.782414355850854e+16,23
24,6.762879126601728e+16,6.75045421571113e+16,24
25,6.730645826541978e+16,6.717911678006067e+16,25
26,6.697837430361293e+16,6.684793614683341e+16,26
27,6.664462957490995e+16,6.651117635108864e+16,27
28,6.630529709375488e+16,6.616886316263014e+16,28
29,6.596047564439552e+16,6.582111254557491e+16,29
30,6.56102425362432e+16,6.546800180933427e+16,30
31,6.52547309132841e+16,6.510962114822144e+16,31
32,6.489398802015846e+16,6.474603498674586e+16,32
33,6.452807398640845e+16,6.437729915948237e+16,33
34,6.415701887680512e+16,6.400354251544986e+16,34
35,6.378099019507302e+16,6.362477364458291e+16,35
36,6.339997505631027e+16,6.324106126635827e+16,36
37,6.301410660450304e+16,6.285249128012186e+16,37
38,6.262338483965133e+16,6.245912381541581e+16,38
39,6.222788707116646e+16,6.206101470681498e+16,39
40,6.182770778832896e+16,6.165823696876339e+16,40
41,6.142281692636774e+16,6.125078201132646e+16,41
42,6.101334762926899e+16,6.083879156842496e+16,42
43,6.059931278193459e+16,6.042221410045133e+16,43
44,6.018076821893939e+16,6.000118275139174e+16,44
45,5.975776118492365e+16,5.957567175144243e+16,45
46,5.933033892452762e+16,5.914581424458957e+16,46
47,5.889857445219533e+16,5.871161023083315e+16,47
48,5.846246347295949e+16,5.827307259507507e+16,48
49,5.802206611636224e+16,5.783029582659584e+16,49
50,5.757745969181491e+16,5.738330999016653e+16,50
51,5.71286441993175e+16,5.693214515055821e+16,51
52,5.66756411137065e+16,5.647679271783629e+16,52
53,5.621853633432781e+16,5.601733859134669e+16,53
54,5.575733845111603e+16,5.555382572076237e+16,54
55,5.529209041374413e+16,5.50862884658217e+16,55
56,5.482284376181965e+16,5.461475689129574e+16,56
57,5.4349589905408e+16,5.413925247202099e+16,57
58,5.387238897405133e+16,5.36598138627031e+16,58
59,5.339130109729178e+16,5.317647112811315e+16,59
60,5.290631339022746e+16,5.26892629229568e+16,60
61,5.241747739246592e+16,5.219820642710323e+16,61
62,5.192481028387635e+16,5.170334029525811e+16,62
63,5.142838078393549e+16,5.12047117720617e+16,63
64,5.092817171277414e+16,5.070235521725235e+16,64
65,5.04242088401961e+16,5.019621050128794e+16,65
66,4.99165351158743e+16,4.968638070338355e+16,66
67,4.940520207941632e+16,4.917290447824486e+16,67
68,4.889018825598566e+16,4.865578182587187e+16,68
69,4.837157954492826e+16,4.813502992613376e+16,69
70,4.784932870160384e+16,4.76106788438016e+16,70
71,4.732351303542374e+16,4.708276293861376e+16,71
72,4.679412395645338e+16,4.655130368540672e+16,72
73,4.626123447913677e+16,4.601632685398426e+16,73
74,4.572483171857203e+16,4.547784532924826e+16,74
75,4.518492426469376e+16,4.49358848810025e+16,75
76,4.46415722470441e+16,4.439047127905075e+16,76
77,4.409474130588467e+16,4.384162170326221e+16,77
78,4.354451304559411e+16,4.328937480834253e+16,78
79,4.299089176113971e+16,4.273372200435712e+16,79
80,4.243390322232525e+16,4.217471483091354e+16,80
81,4.187354742915072e+16,4.161234899304448e+16,81
82,4.130984585645261e+16,4.104665455552102e+16,82
